ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2791,-0.5963,9.2673,-0.2554,-0.5765,9.7864,-0.0176,-0.0469,-0.0013,0.0086,-0.0023,-0.0019,13.55,19.82,-47.39,323.38,3.37,1.5,164776,2016-04-06 19:56:00:070
-0.2791,-0.5819,9.2451,-0.2551,-0.5782,9.7863,-0.0284,-0.0463,-0.0042,0.007,-0.0035,-0.0012,13.38,18.97,-46.22,323.99,3.38,1.48,164876,2016-04-06 19:56:00:170
-0.2719,-0.5466,9.4266,-0.2533,-0.5798,9.7862,-0.0161,-0.0422,0.0162,0.0013,-0.0081,-0.0021,14.06,18.31,-46.43,319.94,3.39,1.48,164977,2016-04-06 19:56:00:271
-0.3015,-0.5832,9.2526,-0.253,-0.5814,9.7861,-0.0107,-0.0475,3.0000E-04,0.0125,0.0021,-9.0000E-04,12.7,19.67,-47.19,325.53,3.4,1.48,165077,2016-04-06 19:56:00:371
-0.236,-0.6168,9.2686,-0.2523,-0.5865,9.7858,-0.0034,-0.0597,0.0062,0.0038,-0.0083,-0.0025,13.3,19.23,-46.72,323.95,3.4,1.5,165176,2016-04-06 19:56:00:470
-0.2116,-0.564,9.2325,-0.2543,-0.584,9.7859,-0.0352,-0.0293,0.0012,0.0109,-0.0011,-0.0027,13.54,19.14,-45.77,321.66,3.43,1.48,165276,2016-04-06 19:56:00:570
-0.2881,-0.5943,9.2932,-0.2567,-0.5785,9.7862,-0.0177,-0.0513,0.0149,0.0114,0.005,-0.0022,13.38,20.33,-47.55,325.52,3.39,1.49,165376,2016-04-06 19:56:00:670
-0.2559,-0.5981,9.2855,-0.2557,-0.5786,9.7862,-0.0071,-0.0546,-0.0149,0.0111,-0.0052,-0.0012,13.87,19.49,-47,321.72,3.38,1.5,165476,2016-04-06 19:56:00:770
-0.2659,-0.6064,9.2652,-0.2563,-0.5782,9.7862,-0.0229,-0.0448,-3.0000E-04,0.0078,-0.0027,-0.0022,13.12,18.95,-46.28,324.01,3.38,1.5,165576,2016-04-06 19:56:00:870
-0.2682,-0.6101,9.2564,-0.2546,-0.5799,9.7862,-0.0142,-0.0538,0.0089,0.0094,-0.0029,-0.0017,13.98,18.69,-47.81,321.66,3.38,1.49,165676,2016-04-06 19:56:00:970
-0.2667,-0.5996,9.231,-0.2548,-0.5809,9.7861,-0.0178,-0.0522,-0.0063,0.006,-0.004,-0.0035,13.55,19.69,-46.44,323.38,3.4,1.49,165776,2016-04-06 19:56:01:070
-0.2432,-0.5872,9.273,-0.2525,-0.5843,9.786,-0.0127,-0.0488,-0.0647,0.0079,-0.0035,-0.0028,13.55,20.5,-48.05,324.84,3.4,1.49,165876,2016-04-06 19:56:01:170
-0.2603,-0.5823,9.3208,-0.247,-0.5838,9.7861,0.0018,-0.032,0.0205,0.0132,-0.0013,-0.0018,13.38,18.97,-46.22,323.86,3.41,1.45,165976,2016-04-06 19:56:01:270
