ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1769,1.195,-1.1673,0.548,-9.5485,2.1672,-1.8274,2.4104,-2.1641,0.4541,-1.6807,2.731,3.2,47.61,21.42,4.07,76.82,-14.19,58826,2016-03-24 21:24:00:059
4.0737,-10.8997,-3.2379,-0.7586,-9.5359,2.1588,2.0279,7.2075,-4.7821,-1.8932,-4.7948,-1.6298,15.75,44.98,18.59,316.79,76.51,19.36,58926,2016-03-24 21:24:00:159
-0.9962,-12.3481,2.5717,0.012,-9.6704,1.6289,-2.2341,-7.7279,2.5143,-1.8932,-4.7948,-1.6298,15.75,44.98,18.59,316.79,76.51,19.36,59026,2016-03-24 21:24:00:259
-0.6057,-12.1179,0.8974,0.0345,-9.7423,1.121,-0.8901,-3.7694,-0.0041,-0.5666,2.0426,-0.3825,16.7,45.43,16.18,324.11,81.33,-1.31,59125,2016-03-24 21:24:00:358
8.8939,-0.3255,-9.1564,-0.0587,-9.7107,1.367,0.4805,1.4228,-0.0937,-0.4811,2.219,-0.1602,16.9,44.96,19.13,323.84,81.98,2.46,59226,2016-03-24 21:24:00:459
3.7185,-5.1078,2.7015,2.3784,-9.3601,1.7036,3.6297,5.8832,-3.6685,0.0188,1.7481,-2.1959,5.54,46.91,20.9,24.1,72.64,-54.39,59325,2016-03-24 21:24:00:558
-2.3204,-16.9278,1.4677,3.6571,-8.9955,1.3701,-3.3382,-3.2587,1.334,-0.6729,0.1949,-3.7181,-3.62,47.69,22.37,40.77,72.64,-54.39,59426,2016-03-24 21:24:00:659
-2.3365,-10.0936,-1.6417,2.427,-9.3688,1.583,-4.1556,-1.6683,-1.6604,0.8438,-0.9777,1.335,-13.91,45.59,25.86,64.44,68.84,-66.99,59526,2016-03-24 21:24:00:759
-0.4936,-3.8936,-0.3558,1.3858,-9.5805,1.57,-3.2359,-1.1156,-2.8555,0.5465,-2.3202,1.8507,-7.66,46.66,24.32,44.27,77.67,-41.43,59626,2016-03-24 21:24:00:859
2.4778,-5.2808,-2.0406,-0.5712,-9.5166,2.2975,0.5228,6.8623,-2.6171,0.8434,-0.3439,1.7827,10.24,46.6,20.68,332.83,76.03,13.96,59726,2016-03-24 21:24:00:959
0.7818,-19.4222,1.3061,0.1888,-9.582,2.0784,2.1145,-8.0081,-1.4992,-0.1503,-2.1635,-0.0293,15,46.3,18.16,335.07,77.71,-5.19,59827,2016-03-24 21:24:01:060
-0.9196,-12.1508,1.604,1.0594,-9.6753,1.1985,-1.4571,-2.6363,0.2545,-0.7553,1.0453,-0.3801,13.83,46.53,14.45,349.05,79.02,-29.32,59927,2016-03-24 21:24:01:160
-0.039,-3.4728,0.3668,1.172,-9.7095,0.7229,-2.0901,-1.4081,0.4095,-0.9705,1.6202,-0.4197,12.67,47.12,17.89,17.52,81.93,-58.33,60025,2016-03-24 21:24:01:258
5.5244,0.1232,-7.0438,1.5525,-9.5752,1.4406,2.7266,8.2644,-3.2325,0.4946,3.5102,-0.7808,5.67,45.94,24.67,33.4,81.8,-54.73,60126,2016-03-24 21:24:01:359
-3.7393,-19.4222,4.2914,3.1159,-9.2315,1.1142,0.9364,5.7564,-4.9559,-0.3402,0.951,-2.3519,-1.91,46.81,24.18,47.01,70.28,-70.32,60226,2016-03-24 21:24:01:459
0.3576,-8.0872,-0.3043,2.6405,-9.4223,0.6471,-1.7452,-7.0732,-0.0171,0.7066,-1.9058,1.4567,-9.97,43.28,27.63,73.09,73.91,-76.23,60326,2016-03-24 21:24:01:559
-1.5015,-1.3399,-0.8623,1.7031,-9.5374,1.5192,-2.8466,3.3252,-1.755,1.3937,-2.6348,1.2306,3.39,47.3,21.57,27.79,76.54,-48.27,60426,2016-03-24 21:24:01:659
0.2662,0.2463,0.4067,1.0521,-9.5212,2.1002,-2.8665,7.6684,-3.9246,1.1952,-2.0761,1.4492,10.17,47.57,16.48,356.58,76.14,-26.61,60526,2016-03-24 21:24:01:759
2.524,-17.2816,-3.0669,0.5556,-9.4813,2.4428,0.2423,-7.7019,-2.0325,-0.113,2.5571,-0.3788,18.48,45.64,9.93,328.52,75.2,-12.81,60625,2016-03-24 21:24:01:858
0.2178,-11.2396,-1.0951,0.6946,-9.5738,2.0077,0.2983,-1.3499,-3.1123,-0.9618,2.6318,-0.8504,18.09,46.38,11.43,329.81,75.2,-12.81,60726,2016-03-24 21:24:01:959
2.7174,-0.7166,-2.88,1.9232,-9.4893,1.5575,3.106,6.465,-3.5917,-0.4489,2.4062,-1.8816,9.72,45.04,22.44,18.51,75.38,-51,60826,2016-03-24 21:24:02:059
-2.0287,-6.7103,1.7415,3.5996,-9.0226,1.3439,-1.3564,4.7612,-3.9272,-1.0351,1.26,-3.0247,0.58,46.43,25.5,34.77,75.38,-51,60926,2016-03-24 21:24:02:159
-0.789,-11.7126,-2.8384,3.8888,-8.9315,1.1297,-7.1446,-11.6681,1.6734,0.7594,-1.2142,1.0887,-13.35,42.3,28.99,65.54,62.26,-76.84,61026,2016-03-24 21:24:02:259
-2.4787,-9.034,0.1956,2.9807,-9.2662,1.193,-3.8309,-3.4343,-2.6254,0.8831,-2.6348,1.7982,-10.59,42.48,28.54,65.27,70.89,-68.19,61125,2016-03-24 21:24:02:358
0.5631,3.0788,-19.0334,0.7791,-9.4381,2.5466,-0.6785,4.8688,-0.977,1.3573,1.0423,1.7585,9.44,46.69,20.49,17.01,74.92,-50.1,61226,2016-03-24 21:24:02:459
2.7939,-14.2113,-1.4301,0.3627,-9.4212,2.6982,0.1174,8.1967,-10.3924,0.0406,-1.2425,0.1788,13.26,46.18,15.98,345.91,74.24,-17.01,61327,2016-03-24 21:24:02:560
0.3908,-14.5849,0.1697,1.0542,-9.4428,2.4275,0.9757,-6.3505,-2.4869,-0.928,0.2556,-0.5858,14.2,46.62,11.35,343.06,74.34,-23.47,61427,2016-03-24 21:24:02:660
0.407,-6.6076,1.2159,1.2046,-9.5626,1.8098,-1.8057,-3.7701,0.1357,-1.193,2.5346,-0.5875,12.69,48.07,13.45,352.69,77.19,-33.65,61525,2016-03-24 21:24:02:758
0.6153,-4.236,4.3582,2.6087,-9.3359,1.4854,-1.0161,5.0766,-6.5859,-1.227,-0.3258,-2.4928,0.1,47.29,23.7,28.74,76.47,-40.87,61626,2016-03-24 21:24:02:859
-7.2288,-19.266,3.839,4.0439,-8.8971,0.8111,-3.867,2.5384,3.5135,-0.8878,0.0113,-2.3246,-9.44,44.81,26.71,60.87,65.13,-78.66,61726,2016-03-24 21:24:02:959
-0.2424,-12.2385,2.081,2.534,-9.4478,0.698,-3.8628,-8.6405,-4.7486,0.3652,-3.6977,1.9664,-12.51,42.06,29.12,70.76,66.27,-77.86,61827,2016-03-24 21:24:03:060
0.5198,-2.3963,-0.2497,1.3738,-9.6617,0.9666,-2.255,-4.7323,1.6951,1.2003,-2.024,2.2071,-1.91,44.06,31.76,59.99,74.45,-74.6,61926,2016-03-24 21:24:03:159
-1.2663,-3.9877,-11.5671,-0.5888,-9.2804,3.1141,0.8187,7.2973,-1.5032,2.1437,-1.8251,1.6526,11.38,43.91,25.27,350.05,78.04,-10.71,62026,2016-03-24 21:24:03:259
0.7041,-19.3911,1.3008,-0.6054,-9.2449,3.2148,0.4712,5.1977,-7.5463,1.3837,1.9204,1.3031,16.65,45.92,14.4,322.21,71.15,10.71,62127,2016-03-24 21:24:03:360
-1.9431,-12.0289,0.5896,0.137,-9.6659,1.6499,2.0000E-04,-2.1621,-1.011,-1.3592,1.6756,-0.2601,15.41,46.9,11.68,326.34,75.19,1.93,62225,2016-03-24 21:24:03:458
-0.4514,-2.2551,-0.2334,0.9829,-9.7524,0.3068,-1.3535,6.0558,-0.0521,-1.2315,1.1509,-0.6159,10.68,45.56,21.75,5.23,84.2,-32.76,62326,2016-03-24 21:24:03:559
-2.1,-10.4801,3.3596,2.6381,-9.4449,0.0661,2.5382,5.6211,-6.4441,-0.6011,1.4232,-1.3644,6.92,45.13,27.66,51.41,83.97,-72.66,62426,2016-03-24 21:24:03:659
-1.6101,-12.3998,-5.2504,4.7332,-8.5811,0.3636,-6.2106,-12.0009,2.9632,-0.8408,2.6102,-3.9328,-2.82,44.81,29.18,54.35,61.8,-84.9,62526,2016-03-24 21:24:03:759
1.418,-12.3809,0.2094,3.0844,-9.303,-0.3334,-3.3712,-3.7901,-1.4603,0.187,-2.6825,2.1614,-21.54,40.01,27.67,113.26,71.56,-96.17,62625,2016-03-24 21:24:03:858
-2.5143,-0.4327,-2.6603,0.8216,-9.6711,1.4017,-0.2491,4.6236,-0.3152,2.2702,-3.6861,1.5289,0.21,42.88,29.46,83.89,81.54,-96.49,62726,2016-03-24 21:24:03:959
2.191,-9.0756,-2.539,0.227,-9.3926,2.8105,-3.0994,6.7996,-6.2103,2.8175,-1.4169,1.2006,13.34,45.28,18.99,356.94,80.46,-30.38,62826,2016-03-24 21:24:04:059
-1.6755,-13.9575,1.7886,0.4628,-9.5092,2.3517,-1.2515,-7.7912,-0.2591,-0.9542,1.5464,-1.0338,19.6,45.62,8.46,321.34,75.85,-11.13,62926,2016-03-24 21:24:04:159
-0.3691,-8.573,-0.2871,0.3935,-9.6888,1.4635,-1.7608,-4.2378,-0.2922,-1.4722,1.5659,-0.2416,16.41,46.66,12.3,331.6,81.11,-15.05,63026,2016-03-24 21:24:04:259
1.166,-2.2106,-8.1892,1.6918,-9.658,0.1781,1.6535,8.9358,-6.573,-1.1208,2.3218,-1.4813,11.74,45.48,24.93,46.84,80.01,-83.99,63126,2016-03-24 21:24:04:359
3.7192,-10.0153,3.078,3.2541,-9.2502,0.1224,-4.5628,1.585,-1.3125,-1.3385,3.7226,-2.5888,2.93,44.42,28.62,57.39,70.61,-87.85,63228,2016-03-24 21:24:04:461
-1.741,-10.7909,1.089,4.8012,-8.5036,0.898,-5.5326,-8.785,-2.5633,0.5654,-0.1895,-0.5723,-17.9,40.03,30.89,74.26,60.13,-79.41,63326,2016-03-24 21:24:04:559
0.7318,-8.7686,1.1366,3.46,-9.1545,0.627,-4.7053,-3.4094,0.2847,0.9107,-3.6264,2.5433,-17.76,41.35,31.44,73.48,60.13,-79.41,63426,2016-03-24 21:24:04:659
0.6111,-3.0098,-0.718,1.4586,-9.2845,2.8001,-3.6453,5.1282,-7.0637,2.3322,-1.9435,1.9444,6.83,45.59,24.35,7.31,71.22,-27.51,63527,2016-03-24 21:24:04:760
3.7347,-19.4222,-4.8845,1.0391,-9.1384,3.4031,-1.497,5.4751,-4.9117,1.2538,-2.0968,1.3317,15.63,46.55,15.45,348.19,71.22,-27.51,63626,2016-03-24 21:24:04:859
-1.3976,-15.3962,1.9709,1.8355,-9.3996,2.1094,-2.6775,-5.8926,0.9984,-1.3575,-0.033,-0.5014,17.25,46.84,12.82,352.7,73.43,-41.03,63726,2016-03-24 21:24:04:959
-0.0855,-5.319,0.1425,1.7969,-9.5375,1.4061,-2.4899,-4.3297,0.166,-1.2142,0.583,-0.0919,16.52,45.78,16.49,3.65,76.55,-51.96,63826,2016-03-24 21:24:05:059
5.6152,-3.0726,-12.3763,1.9705,-9.5243,1.2554,-0.8554,7.1296,0.0466,-0.0869,5.8184,-0.5972,12.57,44.88,25,30.22,77.94,-66.87,63926,2016-03-24 21:24:05:159
0.8517,-16.1025,5.9291,2.9194,-9.2296,1.5693,1.8755,4.0196,-10.8479,-0.7121,2.0563,-2.5543,3.21,44.77,27.87,38.37,76.22,-57.5,64026,2016-03-24 21:24:05:259
-1.3761,-10.2906,-4.6566,4.0522,-8.7593,1.7393,-4.8673,-9.7824,-0.1923,0.5128,-0.4637,0.6035,-13.36,43.88,31,59.2,63.28,-66.77,64127,2016-03-24 21:24:05:360
0.5197,-5.2723,0.2612,3.0479,-9.1738,1.6499,-5.2432,-4.0263,-3.1728,0.6699,-2.6295,2.3246,-12.43,44.27,31.04,59.42,69.3,-61.57,64226,2016-03-24 21:24:05:459
-2.3048,-2.9773,-6.8936,1.0293,-9.2065,3.2174,-0.5488,5.0331,-2.8313,1.8069,-0.553,1.8386,10.05,47.1,20.91,355.28,69.85,-17.74,64326,2016-03-24 21:24:05:559
2.554,-18.7685,-1.1502,0.7185,-9.0517,3.7043,-1.8912,4.3289,-7.9999,0.6136,-1.66,0.3098,15.84,46.53,14.46,338.78,67.37,-10.98,64426,2016-03-24 21:24:05:659
0.6771,-13.9881,1.0174,1.4724,-9.2518,2.8993,-0.1725,-7.1395,-1.5844,-1.4146,0.3855,-0.4864,16.5,47.64,9.86,337.97,67.65,-18.48,64526,2016-03-24 21:24:05:759
-0.5537,-5.4307,0.4408,1.6238,-9.5563,1.4872,-1.8626,1.3868,-0.7362,-1.3381,1.2361,-0.3262,15.41,46.6,15.5,354.33,74.69,-36.22,64626,2016-03-24 21:24:05:859
1.5435,-1.2836,-6.1398,1.8717,-9.5257,1.3886,-2.357,5.8258,-0.7754,0.082,1.5242,-0.7416,9.44,45.15,26.05,25.35,76.25,-53.43,64725,2016-03-24 21:24:05:958
-1.2577,-14.8046,6.2371,4.0443,-8.8836,0.9465,-5.9236,-2.3185,4.156,-0.8122,1.7267,-1.4965,-7.26,43.06,31.45,60.81,71.5,-69.73,64828,2016-03-24 21:24:06:061
-1.131,-12.8694,-3.2031,3.9425,-8.9201,1.0293,-4.1067,-11.2887,2.8858,-0.8122,1.7267,-1.4965,-7.26,43.06,31.45,60.81,71.5,-69.73,64925,2016-03-24 21:24:06:158
0.1785,-3.9365,0.8675,1.7446,-9.5285,1.5281,-3.461,-2.7046,0.2811,0.8732,-3.1998,2.2603,-10.78,42.98,30.25,68.2,71.4,-71.65,65025,2016-03-24 21:24:06:258
-0.1417,-1.3913,-5.2316,0.2614,-9.4331,2.668,-0.1859,4.9525,-1.5525,1.8303,-1.8088,2.3696,-0.83,44.83,28.87,5.46,74.14,-5.6,65125,2016-03-24 21:24:06:358
0.6433,-19.4222,2.8393,0.017,-9.2098,3.3689,2.5049,0.6286,-4.4846,0.207,-1.4377,0.2014,17.01,45.36,15.85,322.86,71.1,11.49,65226,2016-03-24 21:24:06:459
-1.1366,-12.9057,1.2967,0.5793,-9.2752,3.1313,-0.4447,-5.177,-2.402,0.6067,-0.4588,-1.412,17.9,46.15,14.84,329.12,69.91,-0.29,65326,2016-03-24 21:24:06:559
-0.2265,-5.7942,0.532,0.9642,-9.6548,1.4232,-1.3179,1.0438,-0.5808,-1.5217,1.078,-0.5815,10.99,46.75,19.95,352.55,76.34,-17.95,65427,2016-03-24 21:24:06:660
-0.3022,-7.2941,-0.6038,1.8166,-9.5489,1.2996,2.7595,6.8684,-4.7147,-0.9318,1.9454,-1.0194,7.67,46.3,24.35,12.05,79.9,-34.12,65526,2016-03-24 21:24:06:759
-2.6469,-17.3855,5.6333,4.2683,-8.7427,1.2315,-3.5383,-4.3545,4.4614,-1.0517,0.395,-2.4518,-10.07,43.09,29.67,59.88,63.06,-73.91,65626,2016-03-24 21:24:06:859
-1.3707,-14.1985,-0.1862,3.7896,-8.9478,1.3212,-7.2103,-9.9014,0.5268,0.089,0.5798,-0.0822,-15.93,40.86,31.05,70.39,65.84,-70.78,65726,2016-03-24 21:24:06:959
0.048,-2.6697,1.2096,1.8023,-9.5069,1.5942,-1.8929,-2.0362,-0.2707,1.1698,-4.086,2.1933,-7.41,44.09,29.67,61.77,73.27,-69.58,65826,2016-03-24 21:24:07:059
0.5991,-3.3702,-1.8962,0.7933,-9.3233,2.9355,-2.0091,5.5181,-3.0204,2.477,-1.834,1.7787,5.32,44.5,25.51,2.87,71.94,-15.12,65926,2016-03-24 21:24:07:159
-0.4502,-18.2122,1.8241,0.8533,-9.2491,3.1459,3.5573,-4.8824,-8.2809,-0.0517,-1.4476,-0.3527,17.93,45.63,13.22,330.49,68.51,-4.04,66026,2016-03-24 21:24:07:259
-1.0284,-12.6111,1.1249,1.156,-9.4684,2.2769,-1.4104,-3.8294,-0.0614,-1.4752,0.33,-0.6966,16.49,46.7,14.3,339.98,70.59,-15.18,66126,2016-03-24 21:24:07:359
-0.1239,-2.0496,0.2202,1.3661,-9.686,0.6974,-1.6953,3.5482,-0.065,-1.2967,0.4092,-0.2548,11.38,44.52,23.83,30.78,81,-62.96,66226,2016-03-24 21:24:07:459
8.8484,-3.9699,-5.3509,1.5741,-9.6037,1.2093,-0.0264,6.5971,1.7182,-0.0276,3.8266,-0.6649,10.1,44.35,28.28,25.77,78.32,-52.47,66326,2016-03-24 21:24:07:559
-3.5465,-17.6829,2.9282,3.8603,-8.7515,2.1633,-5.119,-8.8364,1.3604,-0.197,0.4227,-1.6646,-13.96,44.72,26.93,55.13,63.18,-60.73,66426,2016-03-24 21:24:07:659
-0.9066,-11.8009,-0.5613,2.8656,-9.2044,1.7994,-5.4213,-7.1709,-0.8178,-0.1263,-1.4221,1.7746,-19.94,43.35,27.72,64.86,63.18,-60.73,66526,2016-03-24 21:24:07:759
