ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.3953,-10.153,-5.0456,0.2708,-9.4274,2.6873,0.6033,1.0285,-5.4559,1.8624,-1.1934,0.7435,22.75,41.96,14.82,322.76,74.01,-5.75,60803,2016-04-11 18:30:00:086
2.3041,-11.4396,-1.4745,0.0327,-9.5209,2.35,-5.0559,-5.6926,-6.7236,-0.0493,1.928,-0.187,26.18,42.2,8.83,306.51,76.13,-0.8,60903,2016-04-11 18:30:00:186
-2.0042,-12.9184,-0.1203,0.7393,-9.7056,1.1937,0.8205,-4.7165,2.8238,-0.7912,0.6257,-0.6638,23.01,41.56,14.2,323.4,80.38,-13.46,61003,2016-04-11 18:30:00:286
3.7581,-4.4312,-1.6648,1.4439,-9.6803,0.6148,-3.3138,1.6786,-7.8123,-1.0838,2.7619,-1.2775,20.4,41.12,17.08,345.25,81.77,-31.77,61103,2016-04-11 18:30:00:386
-1.4798,-10.1862,0.494,4.4399,-8.5839,-1.6658,-6.371,-5.1047,2.5169,-1.9234,-1.1944,-2.4861,3.35,39.42,29.57,66.27,70.68,-95,61204,2016-04-11 18:30:00:487
-2.8804,-10.7721,-2.1377,4.4344,-8.5569,-1.8128,-4.2964,-4.0015,-4.0961,0.2531,-0.435,-0.1922,0.33,35.9,34.23,77.68,61.08,-110.56,61303,2016-04-11 18:30:00:586
0.5271,-8.5774,-1.8863,1.3667,-9.6331,1.2274,-1.5366,-1.3349,-2.6099,2.3891,-0.681,2.79,3.33,39.63,29.52,65.78,71.17,-94.4,61403,2016-04-11 18:30:00:686
-0.5467,-10.4709,0.823,0.5367,-9.602,1.9195,-0.2578,7.3915,-7.5023,1.174,-3.3878,1.8612,13.25,41.9,21.83,348.6,78.27,-15.62,61503,2016-04-11 18:30:00:786
-0.2523,-15.6195,-1.8721,-0.0441,-9.5354,2.2903,-1.977,-5.8747,-8.2164,-0.5277,1.4159,-0.2052,24.03,43.46,9.37,307.2,76.49,1.1,61604,2016-04-11 18:30:00:887
-1.6627,-10.9911,1.4752,0.316,-9.6837,1.5152,0.2288,-5.1561,-2.2746,-1.1119,-0.3545,-0.6847,22.31,43.53,11.92,314.09,76.49,1.1,61703,2016-04-11 18:30:00:986
3.2682,-5.1224,-0.3199,1.6177,-9.6722,-0.0398,-2.3305,3.1085,-8.1717,-1.3143,4.1776,-1.6794,18.12,43.15,20.82,7.07,84.09,-48.76,61803,2016-04-11 18:30:01:086
1.7697,-9.4077,-2.0684,3.3002,-9.2269,-0.3777,-1.3703,3.3284,2.6116,-1.471,0.5311,-2.976,3.94,40.51,28.47,70.35,80.5,-91.41,61903,2016-04-11 18:30:01:186
-4.5441,-10.1468,-1.289,4.0521,-8.8599,-1.1194,-5.0607,-1.7247,-1.6772,1.5304,-0.1848,1.099,-2.05,32.76,35.73,83.75,64.62,-105.44,62003,2016-04-11 18:30:01:286
-0.8457,-10.5714,-0.3708,0.6505,-9.6405,1.6758,-0.9831,-0.0876,-2.9771,2.5415,-3.6806,2.4945,7.32,41.6,26.7,5.31,79.44,-21.22,62104,2016-04-11 18:30:01:387
-5.444,-8.9047,2.0547,0.1978,-9.2705,3.1921,2.1013,7.0694,-5.4786,2.4921,-0.8918,0.7485,18.45,43.5,18.47,341.56,79.44,-21.22,62204,2016-04-11 18:30:01:487
0.7898,-19.4222,-1.8095,-0.437,-8.8949,4.1062,0.9168,-8.7266,-9.5734,1.3111,0.2909,0.4786,23.73,42.84,7.35,311.95,65.1,6.07,62303,2016-04-11 18:30:01:586
-4.3612,-10.8492,-3.3407,-0.0212,-9.1973,3.4028,3.6953,-4.1026,-3.7926,-1.083,1.0371,-0.2928,24.03,43.14,8.54,313.99,69.7,0.36,62403,2016-04-11 18:30:01:686
3.1357,-3.5089,4.409,1.1212,-9.6172,1.5563,-4.3974,2.8293,-6.7685,-2.1283,2.6457,-1.1142,21.16,41.63,14.74,345.59,78.72,-35.77,62503,2016-04-11 18:30:01:786
1.2338,-5.2675,-1.1701,2.8787,-9.3363,0.847,0.8293,3.318,-0.612,-1.1337,3.1878,-2.8211,15.38,42.71,23.33,2.07,78.72,-35.77,62604,2016-04-11 18:30:01:887
-2.9775,-9.1322,-3.5033,3.6363,-9.0979,-0.4201,-6.853,-7.1464,-1.7727,-0.5884,-0.7799,-0.2095,0.4,35.26,36.47,75.53,68.08,-96.59,62703,2016-04-11 18:30:01:986
1.0426,-9.8806,-2.0573,2.2613,-9.4986,0.9132,-4.2731,-4.739,-3.2253,1.978,0.4712,1.3746,3.37,34.2,36.34,53.12,75.6,-68.01,62804,2016-04-11 18:30:02:087
1.2064,-3.0631,1.7054,-0.0085,-9.135,3.5668,0.4675,5.2436,-3.6512,2.1357,-2.4824,2.1126,12.72,40.83,25.21,348.81,76.59,-12.82,62903,2016-04-11 18:30:02:186
-4.6176,-19.3412,-2.0392,0.0677,-8.5812,4.7465,0.423,1.8594,-4.5823,2.1653,-1.7445,0.6805,21.21,41.42,18.68,330.57,61.05,-0.82,63003,2016-04-11 18:30:02:286
4.9118,-13.3802,3.2998,0.034,-8.9047,4.108,1.553,-6.3955,-4.9019,-1.0205,0.3279,-0.4376,24.32,42.46,10.37,318.31,65.23,-0.47,63103,2016-04-11 18:30:02:386
-0.7933,-6.7586,-9.6427,0.2299,-9.1152,3.6097,0.8487,-5.1231,-0.7392,-0.826,0.3274,-0.5474,22.58,43.1,12.91,322.65,65.23,-0.47,63203,2016-04-11 18:30:02:486
1.8356,-5.8213,-1.0265,1.8334,-9.5155,1.5048,0.215,4.1325,-1.6304,-2.1971,1.9561,-2.6015,15.16,41.82,23.39,13.08,76,-50.62,63303,2016-04-11 18:30:02:586
-0.2036,-13.8458,-5.2174,3.9573,-8.9623,-0.432,-2.3696,2.7526,-1.6639,-0.4211,-1.4704,-0.7949,1.8,34.55,35.42,63.43,68.72,-85.09,63403,2016-04-11 18:30:02:686
-5.8552,-12.7979,-2.0793,2.8117,-9.3698,0.6861,-3.9741,-2.9976,-4.946,2.2471,0.2436,2.0806,2.78,33.95,36.61,70.89,66.05,-96.23,63503,2016-04-11 18:30:02:786
