ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.7343,-11.8408,-0.3911,3.3734,-9.1748,0.7837,6.8237,-3.0371,-2.0701,-0.5326,-0.3342,-0.3701,6.76,29.89,12.74,16.61,71.28,-54.87,109004,2016-03-24 12:47:00:045
7.1018,-10.1673,7.3623,5.8719,-7.6696,-1.6936,0.4228,-2.1169,3.7601,-2.8032,0.1235,-1.96,5.67,28.99,16.96,43.6,51.45,-106.09,109103,2016-03-24 12:47:00:144
2.634,-5.0976,0.4846,7.025,-6.4394,-2.3138,-4.5504,-1.3296,1.8458,-1.0125,0.2493,-3.2445,1.72,27.88,18.17,43.51,41.04,-108.23,109204,2016-03-24 12:47:00:245
3.4692,-3.3808,-3.9477,7.1749,-5.1918,-4.2114,-6.9041,1.4683,2.2108,-0.3594,-1.8212,-1.0815,-2.55,21.52,23.76,60.47,31.97,-120.41,109304,2016-03-24 12:47:00:345
7.1223,-1.9447,-4.9923,6.8821,-5.1075,-4.7666,3.5481,0.9571,-1.4004,-0.0243,-1.3728,-0.3626,-0.98,22.64,24.13,57.99,31.97,-120.41,109404,2016-03-24 12:47:00:445
1.8365,-4.5107,-0.377,6.8144,-5.6852,-4.1729,-1.9863,-6.1703,-3.475,0.7381,0.6882,0.213,1.12,21.79,26.1,63.69,32.96,-124.73,109504,2016-03-24 12:47:00:545
8.8299,-9.8714,1.7496,6.6676,-6.4439,-3.1921,-7.3765,1.1259,3.9411,0.1039,1.6345,1.0462,0.6,24.01,24.36,61.73,41.08,-115.58,109603,2016-03-24 12:47:00:644
4.7082,-7.275,-1.9077,5.3423,-8.1588,-1.0315,1.8629,-0.7267,-0.2935,1.1352,1.0037,1.6184,-1.46,28.31,21.73,62.29,56.3,-100.93,109704,2016-03-24 12:47:00:745
2.5999,-8.293,0.094,4.6853,-8.6046,-0.423,0.5209,0.7788,-0.8142,0.8932,0.2238,1.3521,-0.98,29.72,19.25,57.46,61.33,-95.16,109804,2016-03-24 12:47:00:845
6.6469,-7.9445,-0.2138,3.5724,-9.0427,1.2798,0.6822,0.2975,-1.5473,1.1864,0.5617,1.0207,1.39,31.42,14.54,38.18,67.23,-70.29,109905,2016-03-24 12:47:00:946
