ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
7.0161,4.1935,-5.7727,7.0079,3.8484,-5.6788,-0.1586,0.2278,0.1208,0.0086,0.0024,0.0053,62.07,-69.87,4.12,152.87,-22.93,-129.02,139305,2016-03-24 16:59:00:077
7.0764,4.2014,-5.7191,6.9892,3.896,-5.6694,-0.0112,0.245,0.0072,-0.0041,-0.005,0.0104,62.71,-70.3,3.57,152.63,-23.27,-129.04,139404,2016-03-24 16:59:00:176
6.9777,4.1559,-5.6546,6.9825,3.9136,-5.6655,-0.1072,0.1618,0.0792,0.0044,-0.0034,0.0079,62.94,-68.96,3.79,152.37,-23.41,-129.05,139504,2016-03-24 16:59:00:276
7.0788,4.2016,-5.6978,6.9689,3.9543,-5.654,-0.0469,0.2141,0.0452,7.0000E-04,2.0000E-04,0.0025,62.06,-70.37,4.25,152.91,-23.78,-129.05,139604,2016-03-24 16:59:00:376
6.9866,4.134,-5.7228,6.9596,3.978,-5.6488,-0.0119,0.1002,0.0257,0.01,-0.0021,0,61.7,-70.8,4.25,153.17,-23.93,-129.06,139704,2016-03-24 16:59:00:476
6.9586,4.1737,-5.6773,6.9567,3.9878,-5.6456,-0.0554,0.0946,0.0359,0.0106,0.0069,-0.0019,61.85,-71.18,4.39,153.17,-23.93,-129.06,139804,2016-03-24 16:59:00:576
7.0479,4.1718,-5.7086,6.9475,4.0159,-5.6369,-0.0227,0.1247,0.0475,0.002,-0.0017,2.0000E-04,61.92,-70.12,4.48,152.93,-24.08,-129.07,139904,2016-03-24 16:59:00:676
7.0483,4.1535,-5.6999,6.9456,4.0223,-5.6347,4.0000E-04,0.0752,0.0479,0.0092,-0.0028,-9.0000E-04,62.04,-69.32,4.03,152.68,-24.21,-129.05,140004,2016-03-24 16:59:00:776
7.0006,4.2057,-5.608,6.9381,4.041,-5.6306,-0.03,0.1002,0.0413,0.0022,0.0055,-0.0022,61.83,-70.08,3.99,152.93,-24.25,-129.08,140105,2016-03-24 16:59:00:877
7.0242,4.1804,-5.6652,6.9314,4.0543,-5.6292,-0.0506,0.1068,0.0251,0.0016,-0.0069,-3.0000E-04,62.04,-70.32,4.01,152.95,-24.33,-129.06,140204,2016-03-24 16:59:00:976
7.0069,4.187,-5.7121,6.928,4.0587,-5.6302,0.0293,0.0492,0.0193,0.0091,-9.0000E-04,-5.0000E-04,61.94,-70.5,4.66,152.69,-24.45,-129.1,140305,2016-03-24 16:59:01:077
6.9752,4.1901,-5.6839,6.9296,4.0628,-5.6254,0.0185,0.0517,0.0169,0.0028,0.0092,-0.0022,61.89,-70.72,3.67,153.2,-24.47,-129.07,140404,2016-03-24 16:59:01:176
7.0313,4.1878,-5.754,6.9209,4.0721,-5.6293,-0.0216,0.0485,0.0049,0.009,0.005,0.0012,62.97,-70.3,5.65,151.68,-24.53,-129.12,140505,2016-03-24 16:59:01:277
7.0584,4.1651,-5.7403,6.9204,4.0718,-5.6302,0.0096,0.037,0.0155,0.0114,-0.0092,-9.0000E-04,62.5,-70.32,5.33,152.17,-24.53,-129.13,140605,2016-03-24 16:59:01:377
