ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.8983,-10.7512,-1.6439,2.1965,-9.5505,0.3659,0.6157,-1.986,-1.8199,-1.2162,0.3552,-1.3,3.37,32.32,-6.15,325.09,76.88,-80.54,66706,2016-03-24 12:39:00:080
4.4613,-10.5378,0.7696,3.5043,-9.159,-0.0451,0.5976,-3.016,1.2096,-1.1315,0.4427,-2.1867,0.5,32.36,-4.21,342.2,69.06,-90.74,66806,2016-03-24 12:39:00:180
3.5567,-8.7626,-2.5549,5.8111,-7.8044,-1.2221,-1.6638,-1.2961,-0.5534,-0.9431,-0.7421,-2.2264,-6,32.06,-0.03,356.92,61,-95.29,66906,2016-03-24 12:39:00:280
2.6817,-5.4414,-1.8054,6.4169,-7.0279,-2.3669,-3.2237,0.0202,0.1152,-1.2313,-1.2343,-1.7395,-9.12,31.57,2.33,355.51,45.78,-110.25,67006,2016-03-24 12:39:00:380
2.0345,-2.9326,-1.8673,6.0605,-6.6226,-3.9474,-3.8476,3.5688,2.3682,0.0167,-0.9565,0.1339,-12.31,28.65,9.09,9.35,41.88,-119.51,67106,2016-03-24 12:39:00:480
3.0628,-10.1629,-4.5283,5.7973,-7.2566,-3.1468,-1.6846,2.1463,1.2202,1.1655,0.7177,0.9465,-11.96,28.29,10.65,28.89,47.73,-118.49,67206,2016-03-24 12:39:00:580
1.4792,-9.5532,-1.6704,4.6422,-8.5715,-1.0724,5.0772,-2.7299,-2.8631,1.1311,0.7396,1.4528,-6.95,33.13,4.08,14.04,60.93,-103.01,67306,2016-03-24 12:39:00:680
2.9917,-7.5443,-0.9712,3.7448,-9.038,-0.6797,-1.7879,-0.0132,-1.2329,0.6294,0.0589,1.5112,-3.36,33.96,1.61,8.03,67.16,-100.29,67406,2016-03-24 12:39:00:780
5.4611,-8.2389,-1.2805,2.484,-9.4868,-0.026,1.8353,1.02,-1.1727,0.6519,-0.3585,0.544,0.04,35.01,-0.18,0,75.33,-90.6,67506,2016-03-24 12:39:00:880
2.0765,-8.0938,-1.3813,2.3646,-9.5111,0.3449,-0.7682,0.958,-1.0748,0.715,-0.2125,0.2056,0.87,35.47,-1.45,353.08,75.9,-81.7,67606,2016-03-24 12:39:00:980
1.8862,-8.6848,-1.0069,1.7689,-9.5797,1.1268,0.4412,0.6196,-1.9577,0.6756,-0.3369,0.7374,4.56,34.47,-6.35,325.17,76.59,-70.53,67706,2016-03-24 12:39:01:080
3.9735,-13.0145,0.4131,1.3204,-9.6202,1.3709,1.1586,-0.9042,-2.609,0.3839,0.002,0.7439,6.8,33.34,-6.87,302.16,78.81,-43.93,67808,2016-03-24 12:39:01:182
1.0939,-12.2414,0.405,0.7174,-9.6205,1.7612,1.3902,-3.4073,-1.0818,0.3965,-0.6939,0.5134,9.95,32.67,-8.5,286.22,79.22,-31.87,67906,2016-03-24 12:39:01:280
4.0576,-8.7859,-1.4068,0.9815,-9.7044,1.0154,2.3834,0.3543,-1.8867,-1.2703,-1.2596,-0.759,9.91,32.75,-10.07,287.71,81.72,-44.03,68007,2016-03-24 12:39:01:381
2.0823,-8.7709,1.547,1.6151,-9.6727,0.0228,2.0544,0.7855,-0.3057,-1.3746,-1.4901,-1.0505,7.88,32.63,-10.61,319.85,80.52,-89.19,68105,2016-03-24 12:39:01:479
3.6323,-7.2294,1.5361,2.7693,-9.3166,-1.3047,-0.6144,1.1024,3.397,-0.8679,-1.6091,-1.043,4.57,36.51,-10.81,314.48,80.52,-89.19,68205,2016-03-24 12:39:01:579
4.5233,-8.6245,1.6739,3.4963,-9.0505,-1.4261,0.3212,1.3533,2.3863,0.0804,-1.2056,-1.2384,2.2,38.1,-9.66,336.78,67.35,-112.19,68306,2016-03-24 12:39:01:680
2.3322,-8.8688,1.1663,4.5781,-8.5657,-1.3565,-1.924,-0.4122,2.6363,1.1379,-2.155,-1.2853,-8.99,37.71,-11.35,313.75,63.19,-109.15,68406,2016-03-24 12:39:01:780
2.0512,-8.8448,-0.2677,4.6604,-8.5467,-1.1857,-2.4928,-0.5165,1.4158,1.6035,-2.4153,-0.6619,-16.52,33.52,-11.56,287.96,60.86,-106.5,68506,2016-03-24 12:39:01:880
3.9451,-7.886,-0.0807,4.002,-8.8891,-1.0669,-0.4799,-0.0815,-0.7567,1.5082,-2.7101,0.5525,-22.21,28.23,-8.53,249.6,65.02,-104.93,68606,2016-03-24 12:39:01:980
-2.2933,-9.0485,0.428,3.6719,-9.019,-1.1603,-1.7618,0.7696,1.0774,1.0126,-3.4328,0.3251,-22.6,27.49,-4.33,231.43,65.02,-104.93,68706,2016-03-24 12:39:02:080
5.9598,-7.4739,-1.4578,3.0503,-9.2595,-1.0623,0.9348,-3.3473,0.7151,0.5377,-1.6588,0.3198,-22.48,27.91,2.76,201.24,70.77,-109.2,68806,2016-03-24 12:39:02:180
2.3824,-9.304,3.5886,2.8786,-9.3191,-1.0194,2.4464,1.1296,0.1903,0.7529,-2.0928,0.2621,-22.73,28.42,5.86,188.34,71.86,-109.5,68905,2016-03-24 12:39:02:279
