ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.2214,-10.5575,3.7109,-1.3365,-9.6487,-1.1346,-5.5866,-4.6749,0.7936,-2.4028,0.0206,-1.6936,18.64,46.47,17,254.19,76.68,82.27,121003,2016-04-11 18:03:00:075
-3.0003,-5.8753,0.1645,0.768,-9.3553,-2.8388,-2.8052,2.2374,2.5637,-1.1658,0.0199,-1.837,8.73,42.81,27,121.72,72.55,-164.86,121103,2016-04-11 18:03:00:175
-5.0362,-2.1121,-1.0828,0.7626,-9.2047,-3.2958,-3.8532,5.2711,4.8428,-0.7843,-1.9338,-1.0078,5.21,41.29,31.71,140.38,72.55,-164.86,121204,2016-04-11 18:03:00:276
4.9989,-17.5071,-11.5802,-0.1525,-9.4535,-2.6035,4.0486,-4.2942,-8.4101,0.7634,-1.0126,0.3878,10.6,39.67,31.96,156.32,74.58,176.65,121303,2016-04-11 18:03:00:375
-13.1778,-13.6629,-2.8051,-0.0431,-9.4126,-2.7515,1.6622,-2.0427,-3.1389,-0.2014,-0.2828,-0.229,13.49,40.37,28.7,147.93,74.58,176.65,121403,2016-04-11 18:03:00:475
-4.8726,-9.3998,2.1604,-1.0742,-9.6241,-1.5472,-2.4399,3.9457,5.2583,1.5085,1.4974,1.5193,11.71,40.8,27.51,153.22,75.49,174.05,121504,2016-04-11 18:03:00:576
0.5153,-7.8516,1.4162,-2.0459,-9.5579,-0.7946,-1.4643,-2.0389,1.3403,1.0425,-0.3656,1.4421,13.61,42.97,25.77,237.38,77.07,111.22,121603,2016-04-11 18:03:00:675
-2.7953,-9.4359,2.911,-2.2054,-9.53,0.6968,2.1011,1.3366,-0.6697,1.6237,1.7632,-0.0648,18.04,45.84,17.86,268.58,76.36,72.47,121703,2016-04-11 18:03:00:775
0.5181,-11.088,1.2665,-2.5488,-9.4177,0.99,-0.8526,-0.367,-4.4368,0.844,1.2219,0.479,16.61,48.11,14.39,278.97,73.81,68.77,121803,2016-04-11 18:03:00:875
4.5598,-9.7126,-0.4283,-3.3456,-9.0598,1.7023,7.0672,-1.2903,-3.7242,0.4619,0.2412,0.4536,20.01,47.24,10.08,279.84,69.87,65.36,121903,2016-04-11 18:03:00:975
0.3442,-12.6322,-3.3324,-2.5402,-9.4595,0.486,2.6605,-2.95,-3.9076,-2.2985,-0.205,-1.1982,20.89,47.19,9.43,279.71,68.93,64.05,122003,2016-04-11 18:03:01:075
-6.376,-13.1622,0.9486,-1.594,-9.6192,-1.0495,-3.0788,-3.3249,2.423,-2.2717,0.3312,-1.6329,16.08,45.23,17.5,269.92,74.71,79.17,122103,2016-04-11 18:03:01:175
-1.2234,-9.1818,-0.8004,0.5095,-9.4222,-2.6709,-0.6353,-1.5479,1.4995,-1.6677,-1.2139,-1.6431,4.68,43.18,28.52,144.58,73.9,-169.2,122203,2016-04-11 18:03:01:275
-3.5459,-1.7654,1.4973,0.6632,-9.1361,-3.5018,-2.8636,3.1012,3.8729,-0.7798,-2.4102,-0.6407,3.22,38.69,33.39,155.24,73.9,-169.2,122303,2016-04-11 18:03:01:375
2.7073,-14.8675,-12.4949,-0.4285,-9.3689,-2.8653,-3.3338,6.8123,1.0879,0.1956,-0.8461,0.3965,9.84,38.88,34.56,168.4,72.82,171.49,122404,2016-04-11 18:03:01:476
-10.3842,-8.397,0.43,-0.3601,-9.3239,-3.0176,4.3996,-7.7313,-10.2361,-0.2941,-0.3024,-0.676,13.73,39.93,31.9,155.93,72.82,171.49,122504,2016-04-11 18:03:01:576
-3.9984,-11.0087,3.4488,-1.2822,-9.5457,-1.8457,-2.2966,0.0862,6.0698,0.794,1.1909,1.1753,12.19,39.49,31.94,199.82,76.75,145.21,122603,2016-04-11 18:03:01:675
-2.228,-7.5995,-0.7229,-1.904,-9.576,-0.9194,1.9384,-2.6113,0.6739,2.4198,1.6138,1.6266,11.28,41.35,29.06,200.68,76.75,145.21,122703,2016-04-11 18:03:01:775
-1.8508,-9.0713,1.7421,-2.2672,-9.5367,0.2843,-0.3321,0.5694,0.9307,1.356,1.3841,0.1184,15.4,44.43,20.57,245.41,77.6,99.42,122803,2016-04-11 18:03:01:875
-0.6423,-10.8558,-1.326,-2.648,-9.4143,0.7282,1.3085,0.1485,-1.3259,1.2277,1.4366,0.435,15.68,46.38,16.94,276.63,73.74,74.62,122904,2016-04-11 18:03:01:976
4.4523,-9.7491,1.0387,-3.4386,-9.0783,1.3894,4.9865,-1.64,-3.4735,0.8089,0.2132,0.7788,16.33,48.19,10.3,289.95,70.14,69.93,123004,2016-04-11 18:03:02:076
-3.4835,-10.7487,-0.044,-3.2786,-9.1615,1.2197,6.6402,-1.8423,-0.7067,-0.1736,-0.2453,0.1618,18.31,47.18,9.48,289.85,67.78,68,123110,2016-04-11 18:03:02:182
-6.2756,-14.1385,0.6535,-1.6778,-9.5674,-1.3488,-2.0142,-2.2713,1.666,-2.4616,0.2764,-1.5004,18,46.42,13.92,178.27,77.32,128.8,123203,2016-04-11 18:03:02:275
-2.2744,-5.9575,0.4067,0.692,-9.3663,-2.8221,-1.9994,2.4488,2.765,-1.4634,1.1028,-2.0022,12.91,45.55,21.18,213.08,77.32,128.8,123303,2016-04-11 18:03:02:375
-3.1433,-3.127,1.2843,0.7407,-9.1413,-3.4724,-3.9652,4.4962,4.9986,-1.0049,-2.0735,-1.0413,-0.26,42.28,30.58,153.65,68.77,-167.96,123403,2016-04-11 18:03:02:475
5.9432,-17.0682,-10.1361,-0.1353,-9.3477,-2.962,1.3335,-1.8488,-5.096,0.7169,-1.0171,0.3466,5.79,40.36,33.12,153.81,70.13,-175.91,123503,2016-04-11 18:03:02:575
-7.0768,-15.6122,-5.9683,-0.0845,-9.4066,-2.7712,2.9283,-3.9346,-5.1939,0.4121,-0.7321,-0.2286,8.14,40.79,31.28,159.37,72.4,177.38,123603,2016-04-11 18:03:02:675
-4.0981,-11.9277,2.9695,-0.9517,-9.5818,-1.8586,-2.9947,4.1305,7.1899,1.4317,2.0043,1.3683,9.33,42.6,28.79,162.8,74.47,172.91,123703,2016-04-11 18:03:02:775
1.307,-10.4398,0.8662,-1.7607,-9.5776,-1.1577,-1.8703,-1.6687,4.14,1.1268,1.6109,1.4359,8.76,43.52,25.73,192.55,77.71,152.89,123804,2016-04-11 18:03:02:876
-2.9053,-8.9115,-1.5007,-2.4413,-9.4967,0.1523,2.9179,1.4272,-0.1722,1.4736,1.3631,0.115,13.53,48.1,19.01,247.5,75.91,104.74,123903,2016-04-11 18:03:02:975
-1.2077,-10.2973,1.231,-2.6548,-9.4263,0.5173,0.4317,0.487,1.914,0.8746,1.7711,0.3824,12.25,48.34,14.97,285.36,73.99,78.97,124004,2016-04-11 18:03:03:076
0.8051,-9.6049,-0.7704,-3.5635,-9.0676,1.1182,7.522,-1.4212,-1.8848,0.3403,0.0707,0.6407,15.22,49.11,9.62,300.29,67.61,72.58,124104,2016-04-11 18:03:03:176
-0.0946,-11.4312,-2.5682,-3.5297,-9.0981,0.9672,4.3944,-2.6937,-2.5104,-0.4451,-0.1813,-0.1899,15.9,49.57,9.02,299.01,67.61,72.58,124204,2016-04-11 18:03:03:276
-7.8472,-16.2929,1.5379,-1.9672,-9.4982,-1.444,-3.5918,-4.9723,3.2206,-2.1077,0.3065,-1.9083,13.31,47.29,15.83,275.98,72.43,90.48,124303,2016-04-11 18:03:03:375
-0.4781,-9.5994,0.1032,-0.7498,-9.4881,-2.3633,-6.1644,-3.803,3.5032,-1.045,2.0455,-1.6359,8.04,45.53,24.19,178.36,75.36,162.4,124403,2016-04-11 18:03:03:475
-3.2984,-4.1061,2.635,0.5473,-9.0304,-3.7845,-2.7765,3.0322,4.9337,-0.6264,-2.7822,-0.9565,-2.85,40.14,33.27,177.81,71.51,-173.57,124503,2016-04-11 18:03:03:575
1.4264,-12.5798,-9.4309,-0.3639,-9.307,-3.0688,-4.727,6.4823,1.8883,1.1594,-0.9406,0.4213,-2.85,40.14,33.27,177.81,71.51,-173.57,124605,2016-04-11 18:03:03:677
0.8917,-9.6076,-2.6972,-0.3824,-9.3589,-2.9043,5.4523,-7.2644,-8.3181,0.6538,-0.5503,0.6011,2.3,39.8,32.44,186.74,72.62,172.5,124703,2016-04-11 18:03:03:775
-2.673,-7.0625,7.994,-1.0065,-9.5707,-1.8867,-7.319,-2.5932,-2.2642,1.2099,1.4581,0.9779,4.95,41.98,30.04,178.53,75.05,171.43,124803,2016-04-11 18:03:03:875
-2.3687,-11.7209,-0.0231,-1.7453,-9.558,-1.3299,-1.4109,-0.1338,2.6383,1.1477,1.6879,1.3331,3.3,44.76,26.15,214.5,77.41,151.92,124903,2016-04-11 18:03:03:975
-0.9242,-8.8027,4.9292,-2.4602,-9.488,0.3087,2.0319,0.9035,2.7306,1.4722,-0.4022,0.5168,7.98,46.54,21.36,287.14,75.35,82.85,125003,2016-04-11 18:03:04:075
-0.3088,-9.0255,1.8146,-2.6496,-9.42,0.6431,-1.2293,5.0000E-04,-3.0757,1.208,1.6425,-0.0997,10.35,47.78,18.18,283.83,75.35,82.85,125103,2016-04-11 18:03:04:175
2.857,-10.9587,-1.3019,-3.6194,-9.0249,1.2737,4.3027,-2.041,-3.0541,0.8552,0.4451,0.8744,9.8,48.71,11.95,314.04,66.97,70.61,125203,2016-04-11 18:03:04:275
0.1434,-11.535,-3.4308,-3.675,-8.999,1.2969,8.3343,-1.6317,-0.3793,0.0541,0.1585,0.4599,11.55,49.77,9.65,312.28,66.97,70.61,125303,2016-04-11 18:03:04:375
-5.5345,-13.7456,0.7608,-2.1585,-9.5303,-0.8273,0.2246,-1.5116,-1.5935,-2.2166,0.3088,-1.6295,11.8,49.8,11.08,300.49,70.32,79.11,125404,2016-04-11 18:03:04:476
-0.0356,-11.5884,-2.1338,-0.8147,-9.5537,-2.0574,-5.4205,-4.7606,2.532,-2.0048,0.9757,-2.0793,6.97,48.07,19.13,183.14,76.96,158.4,125504,2016-04-11 18:03:04:576
-2.9096,-4.2495,2.0075,0.8632,-9.0198,-3.7509,-0.6432,0.3075,2.6452,-1.3033,-1.3357,-1.3628,-7.74,42.04,29.14,195.49,72.59,-172.96,125604,2016-04-11 18:03:04:676
-3.2793,-2.1564,-0.4053,0.4328,-8.902,-4.0912,-4.1136,6.1074,5.6642,-0.4118,-2.1545,-0.3037,-8.31,37.41,33.14,196.61,65.2,-173.96,125703,2016-04-11 18:03:04:775
