ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
6.4193,-1.6253,-7.5131,6.2669,-1.6323,-7.3642,-0.0087,0.0031,-0.0119,-6.0000E-04,-1.0000E-04,0,0.49,15.79,50.06,73.77,9.59,-139.59,113904,2016-03-24 08:40:00:056
6.3958,-1.631,-7.4835,6.2682,-1.6257,-7.3646,0.0098,0.0413,-0.0056,0.0014,4.0000E-04,-0.001,0.46,15.58,50.55,74.22,9.54,-139.6,114004,2016-03-24 08:40:00:156
6.3912,-1.6855,-7.4799,6.2679,-1.624,-7.3652,0.0049,0.008,-0.006,-0.002,-8.0000E-04,6.0000E-04,0.48,16.42,50.65,74.21,9.53,-139.6,114104,2016-03-24 08:40:00:256
6.4021,-1.6448,-7.4989,6.2686,-1.6268,-7.364,-0.0032,-0.0258,0.027,-0.0038,-3.0000E-04,1.0000E-04,1.83,15.49,49.95,75.63,9.55,-139.59,114204,2016-03-24 08:40:00:356
6.3765,-1.6499,-7.5125,6.2684,-1.6272,-7.3641,-0.0058,-0.0053,0.004,0.0026,-0.0014,-7.0000E-04,0.4,15.94,50.38,73.72,9.54,-139.59,114304,2016-03-24 08:40:00:456
6.3741,-1.6762,-7.5279,6.2673,-1.6281,-7.3648,-0.0049,5.0000E-04,-0.0078,0.0026,-2.0000E-04,-3.0000E-04,0.73,15.13,49.38,75.01,9.55,-139.6,114403,2016-03-24 08:40:00:555
6.3823,-1.629,-7.511,6.2666,-1.6273,-7.3656,-0.0108,0.0276,-0.009,-8.0000E-04,0.0011,-2.0000E-04,0.51,14.9,50.92,75.98,9.57,-139.61,114504,2016-03-24 08:40:00:656
6.333,-1.6656,-7.4818,6.266,-1.6281,-7.3659,-0.0192,-0.0116,0.008,-8.0000E-04,0.0013,-0.0018,0.97,15.65,50.4,73.91,9.56,-139.61,114603,2016-03-24 08:40:00:755
6.3859,-1.6501,-7.4267,6.2633,-1.6288,-7.3681,-0.0026,-0.0158,0.0131,-0.0054,-0.0013,-0.0014,0,16.81,50.14,72.14,9.57,-139.64,114703,2016-03-24 08:40:00:855
6.3904,-1.6125,-7.459,6.2676,-1.6257,-7.3651,0.0042,0.0191,0.0538,9.0000E-04,0.0031,-0.0011,1.01,15.53,50.6,74.39,9.54,-139.6,114804,2016-03-24 08:40:00:956
6.3999,-1.6606,-7.5054,6.2688,-1.6259,-7.3641,-0.0186,-0.0202,-0.0046,-0.0027,-0.0027,0.0022,2.1,17.4,49.33,72.02,9.52,-139.57,114904,2016-03-24 08:40:01:056
6.3833,-1.6522,-7.4996,6.2674,-1.6264,-7.3651,0.0105,-0.0091,-0.0033,-0.0027,-0.0027,0.0022,2.1,17.4,49.33,72.02,9.52,-139.57,115003,2016-03-24 08:40:01:155
6.3742,-1.6643,-7.5172,6.2671,-1.6238,-7.3659,0.0142,0.0219,0.0023,-5.0000E-04,-0.0028,0.0011,0.12,15.75,51.3,74.21,9.53,-139.61,115104,2016-03-24 08:40:01:256
6.3517,-1.6474,-7.4372,6.2647,-1.6262,-7.3675,-0.0025,-0.0119,-0.0141,0.0015,-0.0028,0.0011,0.91,15.97,50.78,74.38,9.53,-139.61,115204,2016-03-24 08:40:01:356
6.3873,-1.6798,-7.476,6.263,-1.6315,-7.3677,-0.013,-0.0168,0.0154,3.0000E-04,6.0000E-04,0.0032,1.78,15.46,50.37,75.64,9.55,-139.64,115303,2016-03-24 08:40:01:455
6.3849,-1.661,-7.4976,6.2645,-1.6321,-7.3663,0.0126,0.0039,3.0000E-04,-6.0000E-04,0.0023,0.0034,1.27,15.66,50.63,74.43,9.58,-139.62,115404,2016-03-24 08:40:01:556
6.3989,-1.67,-7.5114,6.2621,-1.6364,-7.3674,-0.0142,-0.0017,-0.0238,0.0026,0.001,0.0033,0.62,15.66,50.39,73.96,9.61,-139.64,115504,2016-03-24 08:40:01:656
6.3598,-1.6573,-7.4938,6.2629,-1.6367,-7.3666,0.0221,-0.0026,-0.0098,0.0013,-4.0000E-04,5.0000E-04,1.42,14.85,49.77,75.55,9.61,-139.63,115604,2016-03-24 08:40:01:756
6.3749,-1.6851,-7.5341,6.2647,-1.6321,-7.3662,0.0105,0.0321,0.0136,0.0014,-1.0000E-04,-3.0000E-04,0.1,15.33,49.94,75.39,9.6,-139.64,115704,2016-03-24 08:40:01:856
6.3488,-1.6665,-7.499,6.2649,-1.6357,-7.3651,0.0078,-0.0114,0.0089,0.0026,-0.0022,-0.0024,0.11,15.33,50.66,75.87,9.59,-139.62,115804,2016-03-24 08:40:01:956
6.3961,-1.6494,-7.4823,6.2646,-1.6361,-7.3653,-0.019,0.0073,0.034,0.0017,-0.0024,-6.0000E-04,0.13,15.09,50.14,75.4,9.6,-139.62,115903,2016-03-24 08:40:02:055
6.3617,-1.6448,-7.4803,6.265,-1.6334,-7.3656,0.0097,0.0036,-0.0068,0.001,-0.0013,-6.0000E-04,0.8,15.14,49.85,75.54,9.59,-139.61,116003,2016-03-24 08:40:02:155
6.3685,-1.6358,-7.5207,6.2662,-1.6336,-7.3645,0.0169,0.0041,-0.0057,0.0026,4.0000E-04,-5.0000E-04,0.61,15.4,50.31,75.54,9.59,-139.61,116103,2016-03-24 08:40:02:255
6.3764,-1.6747,-7.497,6.2653,-1.6351,-7.365,3.0000E-04,-0.0037,0.0021,0.0021,4.0000E-04,-6.0000E-04,0.26,16.14,50.14,73.77,9.59,-139.62,116204,2016-03-24 08:40:02:356
6.3527,-1.6557,-7.4835,6.2664,-1.6377,-7.3635,-0.013,-0.0165,0.0142,0.0039,0.0023,-0.0042,0.67,16.39,50.54,74.45,9.6,-139.61,116305,2016-03-24 08:40:02:457
